KEY,TICKER,DATE,TIME,CLOSE
50,VKCO,2024-05-14,22:00:00,629.1860631349782
51,VKCO,2024-05-14,23:00:00,629.1860631349782
52,VKCO,2024-05-15,10:00:00,629.1860631349782
53,VKCO,2024-05-15,11:00:00,629.1860631349782
54,VKCO,2024-05-15,12:00:00,629.1860631349782
55,VKCO,2024-05-15,13:00:00,629.1860631349782
56,VKCO,2024-05-15,14:00:00,629.1860631349782
57,VKCO,2024-05-15,15:00:00,629.1860631349782
58,VKCO,2024-05-15,16:00:00,629.1860631349782
59,VKCO,2024-05-15,17:00:00,629.1860631349782
60,VKCO,2024-05-15,18:00:00,629.1860631349782
61,VKCO,2024-05-15,20:00:00,629.1860631349782
62,VKCO,2024-05-15,21:00:00,629.1860631349782
63,VKCO,2024-05-15,22:00:00,629.1860631349782
64,VKCO,2024-05-15,23:00:00,629.1860631349782
65,VKCO,2024-05-16,10:00:00,629.1860631349782
66,VKCO,2024-05-16,11:00:00,629.1860631349782
67,VKCO,2024-05-16,12:00:00,629.1860631349782
68,VKCO,2024-05-16,13:00:00,629.1860631349782
69,VKCO,2024-05-16,14:00:00,629.1860631349782
70,VKCO,2024-05-16,15:00:00,629.1860631349782
71,VKCO,2024-05-16,16:00:00,629.1860631349782
72,VKCO,2024-05-16,17:00:00,629.1860631349782
73,VKCO,2024-05-16,18:00:00,629.1860631349782
74,VKCO,2024-05-16,20:00:00,629.1860631349782
75,VKCO,2024-05-16,21:00:00,629.1860631349782
76,VKCO,2024-05-16,22:00:00,629.1860631349782
77,VKCO,2024-05-16,23:00:00,629.1860631349782
78,VKCO,2024-05-17,10:00:00,629.1860631349782
79,VKCO,2024-05-17,11:00:00,629.1860631349782
80,VKCO,2024-05-17,12:00:00,629.1860631349782
81,VKCO,2024-05-17,13:00:00,629.1860631349782
82,VKCO,2024-05-17,14:00:00,629.1860631349782
83,VKCO,2024-05-17,15:00:00,629.1860631349782
84,VKCO,2024-05-17,16:00:00,629.1860631349782
85,VKCO,2024-05-17,17:00:00,629.1860631349782
86,VKCO,2024-05-17,18:00:00,629.1860631349782
